,Unnamed: 0,drug_name,to_be_split,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,symptom9,symptom10,symptom11,symptom12,symptom13,symptom14,symptom15
0,0.0,doxycycline,difficult breathing swelling face throat severe skin reaction fever sore throat burning eyes skin pain red purple skin rash spreads causes blistering peeling,difficult breathing,swelling face,throat severe,skin reaction,fever sore,throat burning,eyes skin,pain red,purple skin,rash spreads,causes blistering,peeling,,,
1,1.0,spironolactone,difficulty breathing swelling face lips tongue throat breast swelling tenderness,difficulty breathing,swelling face,lips tongue,throat breast,swelling tenderness,,,,,,,,,,
2,2.0,minocycline,skin rash fever swollen glands flu like symptoms muscle aches severe weakness unusual bruising yellowing skin eyes may likely long term use reaction may occur several weeks began using medicine numbness tingling burning pain hair loss discoloration skin nails dizziness spinning sensation muscle joint pain nausea diarrhea loss appetite swollen tongue cough trouble swallowing rash itching headache,skin rash,fever swollen,glands flu,like symptoms,muscle aches,severe weakness,unusual bruising,yellowing skin,eyes may,likely long,term use,reaction may,occur several,weeks began,using medicine
3,3.0,Accutane,problems vision hearing muscle joint pain bone pain back pain increased thirst increased urination hallucinations see hearing things real symptoms depression - unusual mood changes crying spells feelings low self worth loss interest things enjoyed new sleep problems thoughts hurting signs liver pancreas problems - loss appetite upper stomach pain may spread back nausea vomiting fast heart rate dark urine jaundice yellowing skin eyes severe stomach problems - severe stomach chest pain pain swallo,problems vision,hearing muscle,joint pain,bone pain,back pain,increased thirst,increased urination,hallucinations see,hearing things,real symptoms,depression -,unusual mood,changes crying,spells feelings,low self
4,4.0,clindamycin,difficult breathing swelling face lips tongue throat topical stop using topical,difficult breathing,swelling face,lips tongue,throat topical,stop using,topical,,,,,,,,,
5,5.0,Aldactone,difficulty breathing swelling face lips tongue throat breast swelling tenderness,difficulty breathing,swelling face,lips tongue,throat breast,swelling tenderness,,,,,,,,,,
6,6.0,tretinoin,difficult breathing swelling face lips tongue throat topical skin may sensitive weather extremes cold wind using topical,difficult breathing,swelling face,lips tongue,throat topical,skin may,sensitive weather,extremes cold,wind using,topical,,,,,,
7,7.0,isotretinoin,problems vision hearing muscle joint pain bone pain back pain increased thirst increased urination hallucinations see hearing things real symptoms depression -- unusual mood changes crying spells feelings low self worth loss interest things enjoyed new sleep problems thoughts hurting signs liver pancreas problems -- loss appetite upper stomach pain may spread back nausea vomiting fast heart rate dark urine jaundice yellowing skin eyes severe stomach problems -- severe stomach chest pain pain swa,problems vision,hearing muscle,joint pain,bone pain,back pain,increased thirst,increased urination,hallucinations see,hearing things,real symptoms,depression --,unusual mood,changes crying,spells feelings,low self
8,8.0,Bactrim,skin rash fever swollen glands joint pain muscle aches severe weakness pale skin unusual bruising yellowing skin eyes nausea vomiting loss appetite skin rash,skin rash,fever swollen,glands joint,pain muscle,aches severe,weakness pale,skin unusual,bruising yellowing,skin eyes,nausea vomiting,loss appetite,skin rash,,,
9,9.0,Retin-A,difficult breathing swelling face lips tongue throat stop using retin common retin side effects,difficult breathing,swelling face,lips tongue,throat stop,using retin,common retin,side effects,,,,,,,,
